"word","positive","negative","freq"
"call",1,0,827332
"today",1,0,590897
"update",1,0,174395
"information",1,0,167966
"potential",1,0,208612
"financial",1,0,408723
"actual",1,0,119235
"operator",1,0,59498
"statements",1,0,272280
"expenses",1,0,328358
"development",1,0,217612
"using",1,0,102303
"revenue",1,0,1099584
"solution",1,0,66755
"loss",1,0,182297
"filing",1,0,25793
"technology",1,0,218505
"devices",1,0,37770
"data",1,0,279485
"memory",1,0,16377
"approval",1,0,49903
"software",1,0,74148
"phase",1,0,76624
"bookings",1,0,65352
"adoption",1,0,40171
"trial",1,0,74252
"clinical",1,0,89434
"collaboration",1,0,21577
"evening",1,0,9701
"patients",1,0,175465
"architecture",1,0,10343
"treatment",1,0,50587
"dose",1,0,22900
"enterprise",1,0,65324
"disease",1,0,32418
"study",1,0,95084
"studies",1,0,38492
"cloud",1,0,58675
"dosing",1,0,8576
"cancer",1,0,32203
"afternoon",1,0,67622
"doses",1,0,6890
"tonight",1,0,2406
"dram",1,0,2478
"discuss",0.998,0,114611
"available",0.998,0,175532
"differ",0.998,0,73468
"multiple",0.998,0,76439
"filed",0.998,0,50128
"mobile",0.998,0,69083
"patient",0.998,0,64638
"presented",0.998,0,28049
"marketable",0.998,0,7837
"clinic",0.998,0,6743
"deployments",0.998,0,9427
"chemotherapy",0.998,0,3394
"wafer",0.998,0,6324
"analog",0.998,0,6255
"placebo",0.998,0,5867
"approved",0.996,0,36993
"date",0.996,0,81579
"deferred",0.996,0,49627
"user",0.996,0,22344
"partner",0.996,0,61563
"treated",0.996,0,12392
"trials",0.996,0,31930
"computing",0.996,0,11133
"therapy",0.996,0,29608
"gaap",0.996,0,11248
"liver",0.996,0,5242
"users",0.994,0,29349
"obligation",0.994,0,34900
"advanced",0.994,0,38251
"design",0.994,0,70975
"providers",0.994,0,31050
"hardware",0.994,0,23369
"ecosystem",0.994,0,12065
"physicians",0.994,0,24320
"desktop",0.994,0,7513
"servers",0.994,0,4162
"architectures",0.994,0,2709
"tumors",0.994,0,4679
"gene",0.994,0,6784
"customers",0.992,0,691120
"generation",0.992,0,63082
"features",0.992,0,21925
"equivalents",0.992,0,20079
"receive",0.992,0,27569
"storage",0.992,0,28824
"networking",0.992,0,8630
"security",0.992,0,45858
"monetization",0.992,0,7855
"foundry",0.992,0,6406
"inhibitor",0.992,0,7245
"may",0.99,0,353844
"current",0.99,0,293820
"revenues",0.99,0,344791
"drug",0.99,0,37418
"risks",0.99,0,89356
"license",0.99,0,37939
"milestones",0.99,0,17378
"efficacy",0.99,0,16128
"submitted",0.99,0,10795
"scientific",0.99,0,7179
"protocol",0.99,0,6392
"preclinical",0.99,0,8711
"cohort",0.99,0,8976
"wired",0.99,0,1557
"tolerability",0.99,0,3628
"mutations",0.99,0,2442
"research",0.99,0.002,50616
"registration",0.988,0,8525
"apps",0.988,0,8826
"cohorts",0.988,0,5098
"cell",0.988,0,21380
"pivotal",0.988,0,9213
"utility",0.988,0,30772
"tumor",0.988,0,8284
"report",0.986,0,98166
"regulatory",0.986,0,71959
"version",0.986,0,13778
"application",0.986,0,41377
"published",0.986,0,14655
"fab",0.988,0.002,5927
"endpoint",0.986,0,10866
"use",0.984,0,199031
"received",0.984,0,70097
"agreement",0.984,0,71796
"released",0.984,0,23787
"device",0.984,0,29673
"toxicity",0.984,0,1678
"endpoints",0.984,0,5904
"ramp",0.984,0.002,67765
"conference",0.982,0,110596
"applications",0.982,0,70251
"file",0.982,0,23810
"partners",0.982,0,94760
"recognized",0.982,0,41358
"milestone",0.982,0,18186
"commercialization",0.982,0,9446
"candidate",0.982,0,7331
"randomized",0.982,0,5297
"mainframe",0.982,0,997
"number",0.98,0,547976
"release",0.98,0,231774
"filings",0.98,0,58807
"enrolled",0.98,0,7753
"validation",0.98,0,6531
"billings",0.98,0,14895
"linearity",0.98,0,3295
"regimen",0.98,0,4242
"provide",0.978,0,309122
"materially",0.978,0,82862
"installed",0.978,0,23786
"royalties",0.978,0,9309
"initiate",0.978,0,7305
"tolerated",0.978,0,2038
"novel",0.978,0,6818
"enterprises",0.978,0,6324
"server",0.978,0,7301
"pipeline",0.978,0.002,156184
"communications",0.976,0,18225
"enrolling",0.976,0,4908
"treat",0.976,0,11788
"investigators",0.976,0,3278
"pcs",0.976,0,2906
"ios",0.976,0,1596
"thank",0.974,0,506664
"documents",0.974,0,11073
"partnership",0.974,0,39161
"inhibitors",0.974,0,3999
"foundries",0.974,0,2031
"survival",0.974,0,7034
"prostate",0.976,0.002,4288
"monotherapy",0.974,0,3298
"provider",0.974,0.002,32687
"unmet",0.972,0,6035
"royalty",0.976,0.004,16519
"node",0.972,0,3785
"advance",0.972,0,28918
"conferences",0.972,0,7587
"fibrosis",0.972,0,2604
"public",0.97,0,60622
"reconciliation",0.97,0,35607
"conducted",0.97,0,8578
"breast",0.976,0.006,8424
"believe",0.968,0,492998
"approximately",0.97,0.002,455030
"organizations",0.968,0,19086
"designed",0.968,0,32510
"solutions",0.968,0,122036
"content",0.974,0.006,71913
"oncology",0.97,0.002,7194
"routing",0.968,0,3928
"submission",0.968,0,8105
"regimens",0.968,0,2049
"mutation",0.968,0,2252
"milligrams",0.968,0,3412
"large",0.966,0,235206
"subject",0.966,0,56056
"enable",0.966,0,36351
"wireless",0.97,0.004,30890
"advancing",0.966,0,10217
"future",0.964,0,328266
"uncertainties",0.964,0,69934
"companies",0.964,0,167643
"transition",0.964,0,72624
"megawatts",0.966,0.002,9930
"barrels",0.966,0.002,31508
"semiconductor",0.966,0.002,12482
"intellectual",0.964,0,7701
"cells",0.966,0.002,10775
"graphics",0.964,0,2958
"salesforce",0.964,0,4014
"routers",0.964,0,1084
"case",0.964,0.002,116059
"requirements",0.962,0,38962
"technologies",0.962,0,47457
"oled",0.962,0,3362
"sites",0.962,0.002,36450
"option",0.96,0,31059
"suite",0.96,0,15391
"tablet",0.96,0,5576
"website",0.958,0,126069
"currently",0.958,0,135749
"demonstrated",0.958,0,26758
"middleware",0.958,0,879
"joining",0.956,0,134066
"intangibles",0.956,0,9058
"audio",0.958,0.002,10472
"notebook",0.958,0.002,2702
"vascular",0.956,0,2797
"required",0.954,0,49538
"patent",0.96,0.006,14950
"attach",0.954,0,5615
"distributed",0.954,0,11445
"wafers",0.954,0,2084
"ovarian",0.956,0.002,2447
"decrease",0.954,0.002,118314
"compensation",0.952,0,85081
"webcast",0.952,0,28048
"deals",0.96,0.008,92989
"discussions",0.952,0,49948
"compound",0.952,0,7914
"broadcast",0.952,0,11649
"metastatic",0.952,0,3041
"paid",0.95,0,63327
"review",0.95,0,138905
"cause",0.95,0,64580
"recognition",0.95,0,26425
"enroll",0.95,0,6037
"duration",0.95,0,22171
"iphone",0.952,0.002,5661
"firewall",0.95,0,1779
"subjects",0.952,0.002,4865
"commission",0.95,0.002,18704
"nodes",0.95,0.002,3702
"access",0.948,0,72884
"issued",0.948,0,48229
"gig",0.948,0,3630
"standard",0.948,0.002,40504
"switches",0.946,0,2877
"lifetime",0.946,0,5789
"compared",0.948,0.004,521973
"per",0.944,0,581836
"representing",0.944,0,36910
"patents",0.948,0.004,7853
"opex",0.944,0,3775
"sample",0.944,0,5611
"complete",0.942,0,75789
"platform",0.948,0.006,164496
"router",0.94,0,980
"utilities",0.942,0.002,16791
"chipset",0.94,0,1460
"procedures",0.94,0.002,16618
"malignancies",0.938,0,1304
"ees",0.944,0.006,593
"contains",0.936,0,11374
"decision",0.936,0,76243
"ended",0.938,0.002,120269
"secure",0.936,0,15134
"gaming",0.942,0.006,12996
"lymphoma",0.936,0,3599
"orphan",0.936,0,2241
"emulation",0.936,0,716
"partnerships",0.934,0,22617
"physician",0.936,0.002,14963
"applicable",0.934,0,8769
"procedure",0.934,0,8792
"oral",0.936,0.002,10374
"sleep",0.946,0.012,3636
"additional",0.934,0.002,329203
"present",0.932,0,33824
"common",0.932,0,59981
"upgrade",0.932,0.002,22195
"workloads",0.93,0,2651
"ribavirin",0.93,0,528
"population",0.934,0.006,33064
"analysis",0.928,0,41170
"submit",0.928,0,6523
"larger",0.926,0,107801
"accepted",0.926,0,10027
"time",0.926,0,792265
"announce",0.926,0,24655
"churn",0.926,0,15247
"therapeutic",0.93,0.004,9420
"intelligence",0.926,0,9873
"colon",0.926,0.002,1333
"announced",0.922,0,140380
"outcome",0.922,0,21230
"useful",0.922,0,10812
"findings",0.922,0,3457
"reliability",0.924,0.002,14158
"nanometer",0.922,0,1660
"viral",0.922,0,2334
"upon",0.92,0,68812
"logic",0.922,0.002,6967
"under",0.92,0,213928
"abstracts",0.92,0,1162
"cystic",0.92,0,915
"total",0.918,0,426402
"treatments",0.918,0,4666
"agents",0.924,0.006,19060
"collaborations",0.918,0,3806
"therapeutics",0.918,0,1927
"ethernet",0.918,0,1368
"payments",0.916,0,56687
"reports",0.916,0,30286
"burn",0.916,0,10067
"candidates",0.916,0,11900
"request",0.916,0.002,13257
"upfront",0.914,0,17376
"timeline",0.914,0,8542
"ticketing",0.914,0,1316
"scheduled",0.912,0,25881
"address",0.912,0,70222
"stage",0.912,0,39996
"represented",0.912,0,36729
"interface",0.912,0,6156
"functionality",0.912,0,12853
"primary",0.91,0,69238
"response",0.916,0.006,58995
"initiation",0.91,0,3817
"formal",0.91,0,12118
"roadmap",0.91,0,5385
"discovery",0.912,0.002,8690
"potent",0.91,0,1839
"advancement",0.91,0,3532
"compounds",0.914,0.004,3911
"press",0.908,0,129197
"signed",0.91,0.002,33390
"deployed",0.908,0,17386
"medicines",0.908,0,4067
"leukemia",0.908,0,892
"accounting",0.912,0.006,67618
"thanks",0.906,0,310002
"assets",0.908,0.002,188957
"web",0.908,0.002,12479
"diseases",0.908,0.002,7765
"antiviral",0.908,0.002,950
"please",0.904,0,133240
"switching",0.904,0,16692
"already",0.902,0,199678
"requirement",0.902,0,11203
"form",0.902,0,47863
"selected",0.904,0.002,14134
"hydrogel",0.902,0,909
"tunable",0.908,0.006,784
"events",0.904,0.004,80958
"securities",0.91,0.01,53097
"titles",0.908,0.008,7182
"undertake",0.9,0,12367
"administered",0.9,0,2271
"arm",0.906,0.006,7317
"ads",0.902,0.002,7624
"recently",0.898,0,118060
"amortization",0.9,0.004,63690
"system",0.9,0.004,146270
"potentially",0.896,0,71896
"status",0.896,0,20714
"smartphone",0.91,0.014,8742
"video",0.902,0.006,31520
"receptor",0.896,0,3291
"bandwidth",0.896,0,7151
"starbucks",0.912,0.016,1457
"base",0.898,0.004,215145
"infringement",0.896,0.002,1219
"hosting",0.892,0,6200
"samples",0.894,0.002,4946
"systems",0.894,0.004,106884
"lithography",0.89,0.002,582
"cards",0.892,0.004,13836
"processor",0.89,0.002,3408
"dialysis",0.894,0.006,3320
"investigator",0.888,0,1458
"genes",0.89,0.002,1161
"based",0.886,0,276829
"developments",0.886,0,22314
"ounces",0.892,0.006,4064
"disk",0.89,0.004,1633
"evaluation",0.884,0,12395
"asps",0.884,0,6278
"patterning",0.884,0,584
"transistors",0.884,0,416
"amount",0.882,0,165086
"refer",0.882,0,50425
"fabs",0.884,0.002,2435
"peripheral",0.882,0,3514
"releases",0.88,0,15340
"sequentially",0.884,0.004,108283
"vmware",0.88,0,477
"flash",0.884,0.006,4160
"usage",0.882,0.004,22549
"protection",0.878,0,16364
"toxicities",0.878,0,631
"ablation",0.882,0.004,1335
"pancreatic",0.88,0.002,2039
"hernia",0.878,0,418
"section",0.876,0,48878
"indications",0.876,0,19844
"assay",0.888,0.012,4088
"biology",0.876,0,2070
"clinicians",0.876,0,3845
"period",0.876,0.002,324827
"subscription",0.892,0.018,30973
"genotype",0.874,0,884
"ratable",0.872,0,2841
"vsphere",0.872,0,463
"solar",0.888,0.016,18735
"tablets",0.872,0,6216
"connected",0.874,0.002,14781
"sequencing",0.894,0.022,5447
"otherwise",0.87,0,32619
"months",0.874,0.004,344904
"updates",0.872,0.002,21229
"versions",0.87,0,3564
"surgery",0.888,0.018,9173
"designs",0.87,0,11970
"publications",0.87,0,2983
"masks",0.874,0.004,2409
"junket",0.87,0,745
"title",0.882,0.014,7358
"project",0.886,0.018,150599
"expressed",0.868,0,16356
"secondary",0.872,0.004,12274
"creative",0.878,0.01,12143
"megawatt",0.88,0.012,4027
"compute",0.872,0.004,2614
"questions",0.866,0,280918
"interest",0.878,0.012,296634
"electricity",0.876,0.01,6491
"collaborators",0.866,0,1215
"sockets",0.866,0,882
"known",0.864,0,24199
"domain",0.87,0.006,5772
"ecosystems",0.864,0,839
"civilian",0.868,0.004,1331
"services",0.888,0.026,228775
"mask",0.866,0.004,2206
"agent",0.886,0.024,13962
"welcome",0.86,0,68955
"mechanism",0.872,0.012,11041
"wins",0.866,0.006,47257
"lung",0.892,0.032,8165
"validated",0.86,0,4025
"filers",0.87,0.01,858
"parallel",0.858,0,6912
"proof",0.856,0,6747
"hello",0.856,0,7802
"arr",0.862,0.006,3814
"clicks",0.854,0,1098
"combinations",0.854,0,4223
"pathways",0.854,0,1683
"station",0.864,0.01,9439
"humans",0.856,0.004,1341
"enables",0.852,0,14476
"rapidly",0.852,0,27520
"stream",0.852,0,17584
"charging",0.852,0,4853
"mammography",0.858,0.006,880
"electric",0.876,0.026,20640
"phones",0.852,0.002,7794
"chipsets",0.854,0.004,1021
"relapsed",0.85,0.002,1474
"traditional",0.85,0.002,51977
"according",0.848,0,14619
"including",0.846,0,295430
"sheet",0.85,0.004,168099
"meeting",0.85,0.004,53332
"outcomes",0.85,0.004,22570
"host",0.846,0,8442
"signal",0.848,0.002,8150
"clinically",0.85,0.004,4139
"aggregation",0.848,0.002,1807
"enzyme",0.848,0.002,1777
"recommended",0.844,0,2939
"now",0.844,0,1355433
"advantages",0.846,0.002,14650
"contact",0.848,0.004,15629
"medicine",0.846,0.002,5980
"throughput",0.85,0.006,11140
"informatics",0.846,0.002,870
"hematologic",0.844,0,763
"knockdown",0.844,0,737
"bank",0.856,0.014,60087
"notebooks",0.848,0.006,1729
"accordance",0.84,0,11501
"possible",0.842,0.002,64948
"shipped",0.846,0.006,18165
"encourage",0.84,0,15638
"observed",0.84,0,7141
"syndrome",0.864,0.024,2282
"limited",0.838,0,46898
"quarterly",0.838,0,115138
"load",0.844,0.006,17550
"kinase",0.838,0,1016
"tam",0.838,0,1325
"company",0.85,0.014,599684
"invasive",0.836,0,2344
"proposed",0.844,0.008,14759
"output",0.838,0.002,8671
"commence",0.836,0,3825
"potency",0.836,0,903
"recurring",0.844,0.01,31937
"payment",0.84,0.006,49882
"expression",0.836,0.002,4149
"publication",0.838,0.004,3896
"converged",0.834,0,1448
"tomo",0.838,0.004,656
"native",0.842,0.008,2534
"visitor",0.834,0,1066
"telaprevir",0.834,0,688
"genome",0.856,0.022,1462
"regarding",0.832,0,100718
"initial",0.832,0,74045
"live",0.836,0.004,37784
"indication",0.832,0,27296
"obtain",0.834,0.002,6222
"concentration",0.832,0,11015
"resource",0.834,0.002,17543
"cancers",0.852,0.02,2852
"skechers",0.862,0.03,1222
"measures",0.83,0,108062
"engaged",0.83,0,20422
"scalability",0.83,0,2941
"evaluating",0.83,0,23881
"exploration",0.836,0.006,14063
"bone",0.83,0,3510
"investors",0.834,0.006,71675
"initiated",0.828,0,13260
"uptake",0.83,0.002,7588
"rights",0.838,0.01,13176
"noninvasive",0.828,0,783
"processors",0.864,0.036,3226
"pharmacokinetic",0.826,0,723
"asset",0.842,0.016,112945
"infrastructure",0.842,0.016,96272
"marketers",0.828,0.002,2335
"registry",0.85,0.024,2036
"property",0.832,0.008,46052
"intangible",0.828,0.004,13079
"ounce",0.834,0.01,2528
"modules",0.828,0.004,7506
"molybdenum",0.824,0,870
"recurrent",0.832,0.008,1440
"conjugate",0.824,0,502
"include",0.822,0,140447
"likely",0.822,0,78894
"readout",0.822,0,2447
"combination",0.822,0.002,91045
"communication",0.822,0.002,14707
"subsystems",0.82,0,820
"effects",0.82,0.002,34360
"centers",0.836,0.018,40591
"booked",0.822,0.004,18946
"display",0.836,0.018,12483
"infection",0.82,0.002,3636
"resources",0.82,0.004,59650
"reps",0.824,0.008,15104
"ipad",0.834,0.018,3378
"following",0.814,0,92405
"soon",0.816,0.002,36056
"merchant",0.83,0.016,11657
"infections",0.814,0,2161
"resort",0.818,0.004,3250
"relapse",0.814,0,1204
"hemoglobin",0.824,0.01,1583
"perpetual",0.824,0.012,4671
"biomarkers",0.812,0,1786
"income",0.832,0.02,468283
"guarantee",0.812,0,8008
"oems",0.814,0.002,6729
"controllers",0.812,0,1388
"reimbursement",0.828,0.018,24291
"campus",0.838,0.028,6886
"mainstream",0.81,0,3934
"infected",0.81,0,836
"discussion",0.81,0.002,79902
"commerce",0.826,0.018,4484
"timelines",0.808,0,2874
"hepatic",0.808,0,400
"ebay",0.864,0.058,3680
"domains",0.82,0.014,1500
"recent",0.806,0,154406
"safety",0.814,0.008,58199
"capitalized",0.808,0.002,13091
"chip",0.82,0.014,10380
"hybrid",0.808,0.002,10846
"transistor",0.808,0.002,390
"kilogram",0.806,0,880
"cinema",0.838,0.034,1318
"oncotype",0.804,0,313
"malware",0.804,0,697
"contract",0.83,0.028,132364
"cases",0.802,0,63267
"cubic",0.802,0,7185
"drugs",0.808,0.006,13532
"networks",0.814,0.012,24014
"molecule",0.804,0.002,5834
"coaches",0.808,0.006,1006
"inhibition",0.802,0,1575
"prostatectomy",0.802,0,355
"genomes",0.81,0.008,396
"completed",0.804,0.004,104037
"adopt",0.8,0,6377
"pathway",0.8,0,5426
"biologics",0.804,0.004,3061
"sufficient",0.798,0,14394
"pollution",0.802,0.004,1021
"rules",0.8,0.002,21280
"inspection",0.8,0.002,6645
"interferon",0.798,0,605
"enzymes",0.798,0,743
"players",0.796,0,30285
"factors",0.796,0,170834
"funding",0.802,0.006,55437
"gigawatts",0.796,0,2170
"grid",0.816,0.02,8401
"attacks",0.798,0.002,2288
"registrations",0.81,0.014,2574
"insulin",0.816,0.02,2842
"festivals",0.796,0,641
"game",0.8,0.006,28551
"service",0.822,0.028,242367
"among",0.794,0,39459
"economics",0.8,0.006,27003
"comprised",0.798,0.004,14530
"subsequent",0.794,0,22168
"deployment",0.804,0.01,30821
"treating",0.802,0.008,6648
"controller",0.794,0,2092
"chips",0.816,0.022,4810
"svr",0.794,0,219
"integrated",0.796,0.004,46385
"smartphones",0.82,0.028,6822
"equivalent",0.796,0.004,24225
"operators",0.802,0.01,20996
"hosted",0.798,0.006,5352
"find",0.792,0.002,80817
"education",0.802,0.012,18514
"rnai",0.79,0,274
"power",0.82,0.032,89624
"statistically",0.788,0,2558
"edge",0.788,0,9503
"respiratory",0.804,0.016,3688
"facebook",0.806,0.018,3418
"toric",0.79,0.002,375
"suites",0.806,0.02,2393
"days",0.788,0.002,146984
"require",0.786,0,26406
"compliance",0.816,0.03,23840
"mutant",0.786,0,844
"carcinoma",0.788,0.002,1120
"unearned",0.794,0.008,1231
"doctors",0.83,0.046,7214
"interim",0.81,0.026,12659
"silicone",0.792,0.008,1122
"acres",0.804,0.02,11544
"varian",0.784,0,301
"subcutaneous",0.784,0,1470
"arrays",0.794,0.01,921
"aoi",0.788,0.004,856
"subsidiary",0.786,0.004,10593
"center",0.79,0.008,53491
"timely",0.784,0.002,7800
"unified",0.792,0.01,4758
"multiplayer",0.782,0,386
"biological",0.782,0.002,1322
"family",0.786,0.008,24421
"beta",0.788,0.01,9253
"agreements",0.782,0.004,31957
"completion",0.78,0.002,43421
"pending",0.782,0.004,16215
"analysts",0.778,0.002,13369
"institutions",0.794,0.018,14989
"therapies",0.782,0.006,8990
"hcv",0.776,0,500
"glucose",0.776,0,1385
"sponsorship",0.786,0.012,2577
"etch",0.812,0.038,1623
"various",0.776,0.002,74530
"correction",0.774,0,4994
"believes",0.776,0.002,7358
"optical",0.8,0.026,7379
"coherent",0.774,0,1370
"mortality",0.788,0.016,5333
"taxes",0.774,0.002,50115
"setting",0.772,0,23210
"approaches",0.774,0.002,7254
"commercially",0.772,0,4312
"injector",0.772,0,360
"mobility",0.794,0.024,7383
"parties",0.772,0.002,15814
"pharmacodynamic",0.77,0,634
"drilling",0.812,0.042,56944
"barrel",0.774,0.004,15130
"blinded",0.77,0,1431
"antibodies",0.78,0.01,3124
"enablement",0.774,0.004,2154
"protease",0.77,0,502
"gateways",0.768,0,1513
"authentication",0.772,0.004,1247
"programmable",0.768,0,1083
"rapid",0.768,0,20273
"conduct",0.768,0,6800
"people",0.78,0.014,333591
"feedback",0.77,0.004,27763
"unless",0.766,0,21983
"map",0.766,0,11414
"addressable",0.77,0.004,9787
"acceptance",0.768,0.004,12127
"vessels",0.83,0.066,8716
"collected",0.764,0,5603
"preceding",0.782,0.018,3473
"natural",0.784,0.02,60833
"colorectal",0.782,0.018,1733
"stations",0.822,0.058,12370
"concerts",0.792,0.028,985
"staff",0.772,0.01,26852
"downloads",0.764,0.002,2380
"hepatocellular",0.762,0,226
"millions",0.764,0.002,11835
"playback",0.762,0,1615
"surveillance",0.772,0.01,2494
"hereditary",0.774,0.012,1104
"production",0.806,0.046,258338
"scale",0.768,0.008,74316
"attributable",0.764,0.004,35647
"silicon",0.812,0.052,5491
"module",0.784,0.024,6901
"publishing",0.782,0.022,4514
"elas",0.76,0,321
"scientists",0.762,0.002,2308
"preloaded",0.762,0.002,209
"semi",0.766,0.008,3671
"transmitters",0.776,0.018,390
"gpu",0.758,0,250
"net",0.784,0.026,598864
"relationship",0.77,0.012,60334
"meetings",0.76,0.002,13098
"publisher",0.764,0.006,1171
"dosed",0.758,0,1544
"gastric",0.758,0,907
"carrier",0.786,0.03,13753
"monetize",0.756,0,7797
"administration",0.756,0,13553
"genetic",0.772,0.016,3560
"developers",0.762,0.006,7149
"nanometers",0.756,0,692
"ces",0.762,0.006,1733
"evaluated",0.756,0.002,5682
"amoled",0.76,0.006,373
"multiscreen",0.76,0.006,270
"qualification",0.762,0.008,4514
"biomarker",0.756,0.002,2132
"risk",0.77,0.018,138834
"support",0.756,0.006,192539
"types",0.754,0.004,48949
"smart",0.762,0.012,19092
"provisioning",0.764,0.014,4108
"gateway",0.758,0.01,2764
"accounts",0.78,0.032,95054
"detailed",0.748,0,43824
"extension",0.75,0.002,17984
"distributions",0.764,0.016,5329
"suppression",0.748,0,780
"bracanalysis",0.78,0.032,361
"complications",0.748,0,1544
"lead",0.754,0.008,75164
"evaluate",0.748,0.002,32593
"addition",0.746,0,206491
"final",0.746,0,72284
"sources",0.748,0.002,20405
"publicly",0.746,0,19512
"radiation",0.756,0.01,1852
"advertisers",0.804,0.058,10929
"decoupling",0.79,0.044,1648
"nurse",0.76,0.014,1879
"buybuy",0.748,0.002,304
"group",0.762,0.018,95233
"screen",0.75,0.006,8068
"media",0.788,0.044,41027
"permit",0.746,0.002,5257
"magnetic",0.756,0.012,818
"prospects",0.744,0.002,37249
"initiating",0.742,0,3713
"emitter",0.75,0.008,378
"retreatment",0.744,0.002,407
"coronary",0.76,0.018,2083
"venetian",0.754,0.012,463
"collect",0.74,0,7377
"delay",0.742,0.002,20309
"transactions",0.766,0.026,58243
"formulation",0.778,0.038,6078
"biopsy",0.776,0.036,2270
"refractory",0.758,0.02,3279
"connectivity",0.746,0.008,11028
"schedule",0.738,0,40237
"fabless",0.758,0.02,807
"millimeter",0.744,0.006,1339
"program",0.766,0.03,263157
"submitting",0.738,0.002,1846
"estimates",0.74,0.004,38310
"clouds",0.736,0,1919
"artists",0.748,0.012,1212
"escalation",0.762,0.026,4318
"presenting",0.734,0,8765
"timeframe",0.734,0,13177
"qualified",0.738,0.004,10232
"pharmacokinetics",0.736,0.002,855
"literature",0.734,0,1661
"testimony",0.732,0,1899
"conferencing",0.732,0,761
"interfaces",0.732,0,1720
"serum",0.734,0.002,919
"icl",0.74,0.008,249
"interactions",0.732,0.002,5032
"event",0.744,0.014,44588
"median",0.734,0.004,3684
"subsequently",0.732,0.002,4615
"granted",0.73,0,7375
"watt",0.744,0.014,1526
"supercomputer",0.728,0,390
"existing",0.73,0.002,148668
"automation",0.756,0.028,18278
"sometime",0.728,0,15660
"brokerage",0.776,0.048,12774
"recurrence",0.73,0.002,908
"vitro",0.73,0.002,791
"venous",0.728,0,474
"upgrades",0.736,0.01,14114
"radio",0.77,0.044,10555
"caregivers",0.728,0.002,1285
"roadmaps",0.726,0,802
"adverse",0.73,0.004,13952
"amortized",0.73,0.004,3785
"regulated",0.774,0.048,8765
"tuning",0.726,0,1775
"easily",0.726,0.002,11646
"bills",0.724,0,4669
"muscle",0.75,0.026,3439
"journals",0.748,0.024,714
"chargers",0.722,0,606
"skeletal",0.742,0.02,530
"increasingly",0.724,0.002,27494
"games",0.772,0.05,12889
"promising",0.724,0.002,9516
"symptoms",0.73,0.008,3823
"proposal",0.74,0.018,8850
"sponsored",0.728,0.006,2195
"automate",0.726,0.004,2518
"hysterectomy",0.74,0.018,374
"vivo",0.722,0,1253
"apnea",0.746,0.024,602
"cash",0.73,0.01,719786
"actively",0.722,0.002,28135
"secured",0.722,0.002,15523
"melanoma",0.738,0.018,2433
"docetaxel",0.732,0.012,526
"dvp",0.72,0,217
"streaming",0.782,0.062,5981
"virtualization",0.81,0.09,3131
"noncash",0.732,0.014,22024
"ramping",0.724,0.006,24793
"classified",0.736,0.018,9362
"circuit",0.74,0.022,3449
"issuers",0.748,0.03,2863
"advertiser",0.76,0.042,2047
"scrubber",0.732,0.014,794
"molecular",0.764,0.048,5390
"interoperability",0.726,0.01,1395
"equity",0.75,0.034,107490
"enrollment",0.78,0.064,29244
"forma",0.736,0.02,29361
"environmental",0.74,0.024,18908
"fees",0.748,0.032,74410
"malignant",0.716,0,461
"vcloud",0.716,0,406
"lenses",0.734,0.018,1262
"bebe",0.74,0.024,443
"guidelines",0.722,0.008,8596
"pimavanserin",0.714,0,819
"supercomputers",0.714,0,233
"recorded",0.72,0.006,52527
"consideration",0.716,0.002,20685
"investigational",0.714,0,1364
"diabetes",0.724,0.01,4948
"considered",0.712,0,24944
"prevalence",0.722,0.01,1296
"community",0.724,0.012,47943
"predict",0.714,0.002,32725
"wells",0.79,0.078,84290
"students",0.806,0.094,20279
"reliable",0.714,0.002,9293
"microprocessor",0.716,0.004,606
"journal",0.742,0.03,1381
"supercomputing",0.71,0,495
"asic",0.71,0,287
"launch",0.736,0.026,108179
"volunteers",0.712,0.002,1509
"scalable",0.71,0,5759
"keynote",0.708,0,457
"recognize",0.708,0,38986
"extend",0.71,0.002,23454
"resolution",0.714,0.006,13319
"pancreas",0.708,0,375
"iphones",0.712,0.004,858
"cyber",0.788,0.08,4661
"sponsors",0.72,0.014,4607
"projections",0.706,0,30465
"app",0.742,0.036,15914
"groups",0.714,0.008,22669
"ending",0.706,0,21710
"downloadable",0.708,0.002,807
"biopsies",0.722,0.016,1013
"primes",0.706,0,498
"reserves",0.744,0.04,39906
"qualifications",0.71,0.006,1890
"banks",0.758,0.054,38253
"preparation",0.708,0.004,7950
"milligram",0.758,0.054,1606
"planar",0.726,0.022,459
