"Model","Variable","Coefficient","Lower_CI","Upper_CI"
"D01","vol_pos_uni",0.0993673939756726,0.0491382581833818,0.149596529767963
"D01","vol_neg_uni",-0.153695955501894,-0.193677351424199,-0.113714559579589
"D01","log(me)",-0.276177995180124,-0.308773427838104,-0.243582562522144
"D01","log(bm)",0.0159726700622028,-0.0274849129604419,0.0594302530848475
"D01","log(turn)",0.280781776242475,0.240000739736676,0.321562812748275
"D01","sue",-0.0151994110172713,-0.0233523369501588,-0.00704648508438378
"D01","nasdaq",-0.02081524862206,-0.0853155904697254,0.0436850932256054
"D02","vol_pos_uni",0.099000779472595,0.0436959398897931,0.154305619055397
"D02","vol_neg_uni",-0.152034950058183,-0.191906396084356,-0.11216350403201
"D02","log(me)",-0.270282478498271,-0.302286455139751,-0.23827850185679
"D02","log(bm)",0.0172657613097366,-0.0258348081900464,0.0603663308095196
"D02","log(turn)",0.276001112382222,0.235499598303356,0.316502626461089
"D02","sue",-0.0144604934580906,-0.0228011570452487,-0.00611982987093258
"D02","nasdaq",-0.0205654676315919,-0.0846488058743717,0.0435178706111878
"D03","vol_pos_uni",0.0997185306983173,0.0410818787240214,0.158355182672613
"D03","vol_neg_uni",-0.152591010877258,-0.193250378577003,-0.111931643177513
"D03","log(me)",-0.266595419272907,-0.298660759697422,-0.234530078848392
"D03","log(bm)",0.0165448269422774,-0.0262968595494953,0.0593865134340502
"D03","log(turn)",0.274717931673951,0.233527884114945,0.315907979232957
"D03","sue",-0.0134777604268225,-0.0218238099991468,-0.00513171085449812
"D03","nasdaq",-0.0200902903971241,-0.0842041462851094,0.0440235654908612
"D04","vol_pos_uni",0.0998274557424466,0.0395307574613253,0.160124154023568
"D04","vol_neg_uni",-0.154501127207027,-0.195430358657559,-0.113571895756496
"D04","log(me)",-0.26457979137105,-0.296946321677449,-0.232213261064651
"D04","log(bm)",0.0164566849635614,-0.0271892305425724,0.0601026004696953
"D04","log(turn)",0.273242450426656,0.23151929925207,0.314965601601243
"D04","sue",-0.0131404057017313,-0.0215797086087491,-0.0047011027947136
"D04","nasdaq",-0.0210664956872973,-0.085713820222518,0.0435808288479235
"D05","vol_pos_uni",0.102386391361191,0.0416515370614214,0.16312124566096
"D05","vol_neg_uni",-0.153044343616722,-0.194272043023385,-0.11181664421006
"D05","log(me)",-0.262894953664774,-0.294985710834231,-0.230804196495317
"D05","log(bm)",0.0167132819917403,-0.0266594699001803,0.0600860338836608
"D05","log(turn)",0.271126872468591,0.229410402465526,0.312843342471657
"D05","sue",-0.0128630234615393,-0.0215577093561578,-0.00416833756692066
"D05","nasdaq",-0.0206166782462087,-0.0864829286631236,0.0452495721707062
"D06","vol_pos_uni",0.104641969023046,0.0411731632502178,0.168110774795875
"D06","vol_neg_uni",-0.154050094218773,-0.194503107342489,-0.113597081095057
"D06","log(me)",-0.262252444154352,-0.294158158898606,-0.230346729410098
"D06","log(bm)",0.0171514459246662,-0.0254539041542454,0.0597567960035779
"D06","log(turn)",0.271511209607061,0.230224139482674,0.312798279731447
"D06","sue",-0.0130627339157894,-0.0215734007010128,-0.00455206713056608
"D06","nasdaq",-0.0215629640680933,-0.0871058776643438,0.0439799495281573
"D07","vol_pos_uni",0.10579056575347,0.0400272405212627,0.171553890985677
"D07","vol_neg_uni",-0.153484783535093,-0.193689672836897,-0.113279894233288
"D07","log(me)",-0.260988276087801,-0.292829934430461,-0.229146617745141
"D07","log(bm)",0.0175487409666549,-0.0244211369549172,0.059518618888227
"D07","log(turn)",0.271981264939002,0.230957340450638,0.313005189427365
"D07","sue",-0.0130555377355137,-0.0216320523602669,-0.00447902311076061
"D07","nasdaq",-0.0216600193905528,-0.0874626901550042,0.0441426513738986
"D08","vol_pos_uni",0.108545803297094,0.0393978730153625,0.177693733578825
