"Model","Variable","Coefficient","Lower_CI","Upper_CI"
"D01","vol_pos_uni",0.0692140123882747,0.00747946923273687,0.130948555543813
"D01","vol_neg_uni",-0.0825748771615734,-0.112439874708882,-0.0527098796142652
"D01","log(me)",-0.0919652112879016,-0.129198002846852,-0.054732419728951
"D01","log(bm)",0.0350083659796077,-0.00942025423973057,0.079436986198946
"D01","log(turn)",0.112485768798111,0.0750676991111209,0.149903838485102
"D01","log(rvar_capm)",0.545220581219861,0.492090673300379,0.598350489139344
"D01","sue",-0.0108437578801559,-0.0203987155227415,-0.00128880023757031
"D01","nasdaq",-0.068193815849812,-0.105167693415729,-0.0312199382838947
"D02","vol_pos_uni",0.0695831282277661,0.00269736583585238,0.13646889061968
"D02","vol_neg_uni",-0.0809085320773713,-0.110997607991386,-0.0508194561633567
"D02","log(me)",-0.0871950131583156,-0.123375380821203,-0.0510146454954282
"D02","log(bm)",0.0349092578450302,-0.0102053087059821,0.0800238243960424
"D02","log(turn)",0.111527552297777,0.0747531355513034,0.14830196904425
"D02","log(rvar_capm)",0.539773759591977,0.487023668669003,0.59252385051495
"D02","sue",-0.0100300283027284,-0.0196184746990051,-0.000441581906451674
"D02","nasdaq",-0.0682807124696469,-0.105193826072088,-0.0313675988672056
"D03","vol_pos_uni",0.0705547312555549,2.23984874351824e-05,0.141087064023675
"D03","vol_neg_uni",-0.0810523513684568,-0.112138347252765,-0.0499663554841489
"D03","log(me)",-0.0845653711058495,-0.121102692214971,-0.0480280499967282
"D03","log(bm)",0.0340993002986382,-0.0112479897041681,0.0794465903014446
"D03","log(turn)",0.112371952074033,0.074654792459237,0.15008911168883
"D03","log(rvar_capm)",0.536235321896656,0.482587051876866,0.589883591916446
"D03","sue",-0.00941989271094949,-0.0191838958434102,0.00034411042151118
"D03","nasdaq",-0.0669667044149126,-0.104025468349178,-0.0299079404806469
"D04","vol_pos_uni",0.0700946871635369,-0.00235231433329261,0.142541688660366
"D04","vol_neg_uni",-0.08176572321501,-0.113378334556477,-0.0501531118735433
"D04","log(me)",-0.0829335930941821,-0.119214848712055,-0.0466523374763095
"D04","log(bm)",0.0330787729560799,-0.0130764674024843,0.0792340133146442
"D04","log(turn)",0.112660483170722,0.0744663609584797,0.150854605382964
"D04","log(rvar_capm)",0.532227795951053,0.479125857235236,0.58532973466687
"D04","sue",-0.00928935173325349,-0.0194409413579381,0.000862237891431129
"D04","nasdaq",-0.067374967794808,-0.104946991290835,-0.0298029442987814
"D05","vol_pos_uni",0.0723044723415387,-0.000863140569588333,0.145472085252666
"D05","vol_neg_uni",-0.0794081338817551,-0.111322153927851,-0.047494113835659
"D05","log(me)",-0.0815135858331492,-0.116846228466267,-0.0461809432000311
"D05","log(bm)",0.0329598594273879,-0.013221234085533,0.0791409529403088
"D05","log(turn)",0.111587138957126,0.0732416084298036,0.149932669484448
"D05","log(rvar_capm)",0.529256687111709,0.477938402123291,0.580574972100126
"D05","sue",-0.00910280652454163,-0.0195439930601812,0.00133838001109797
"D05","nasdaq",-0.064878749103137,-0.103150345207948,-0.0266071529983256
"D06","vol_pos_uni",0.0746458696689438,-0.00140915667189601,0.150700896009784
"D06","vol_neg_uni",-0.0800943657656174,-0.111804106021759,-0.0483846255094762
"D06","log(me)",-0.0806899901319702,-0.115487419202457,-0.0458925610614836
"D06","log(bm)",0.0312652810768923,-0.0138167915160794,0.076347353669864
"D06","log(turn)",0.112050760638068,0.0747827036319017,0.149318817644234
"D06","log(rvar_capm)",0.527789549786856,0.476847237755196,0.578731861818516
"D06","sue",-0.00886461571329401,-0.0192423628417694,0.00151313141518137
"D06","nasdaq",-0.0660430863151719,-0.104337772385469,-0.0277484002448748
"D07","vol_pos_uni",0.0753305525593272,-0.00252070759499393,0.153181812713648
"D07","vol_neg_uni",-0.0793847412572308,-0.111673040797607,-0.0470964417168546
"D07","log(me)",-0.0804282288132404,-0.11508493503346,-0.0457715225930211
"D07","log(bm)",0.0316895377066958,-0.0133104655844622,0.0766895409978537
"D07","log(turn)",0.113694898675937,0.0765983889251783,0.150791408426696
"D07","log(rvar_capm)",0.52429902752649,0.473611072343339,0.574986982709642
"D07","sue",-0.00928343195936862,-0.0196693628069461,0.00110249888820891
"D07","nasdaq",-0.0639646006176905,-0.102386177523883,-0.025543023711498
"D08","vol_pos_uni",0.0786688191240562,-0.00386260720804601,0.161200245456158
"D08","vol_neg_uni",-0.0799881495406783,-0.112766613121243,-0.0472096859601133
"D08","log(me)",-0.0801477498042069,-0.115070415968441,-0.0452250836399726
"D08","log(bm)",0.0342032934925718,-0.0105742097614303,0.0789807967465738
"D08","log(turn)",0.114593243423144,0.076615401345633,0.152571085500656
"D08","log(rvar_capm)",0.521576799628111,0.471266350276999,0.571887248979223
"D08","sue",-0.00844757437882097,-0.0183099233813676,0.00141477462372569
"D08","nasdaq",-0.0630321044746727,-0.103184140821703,-0.0228800681276425
"D09","vol_pos_uni",0.0800516028575883,-0.00321499282379949,0.163318198538976
"D09","vol_neg_uni",-0.0778015758202618,-0.110096462724758,-0.0455066889157656
"D09","log(me)",-0.0799869429730884,-0.114437051812074,-0.0455368341341032
"D09","log(bm)",0.0333291509806116,-0.0103806128987039,0.0770389148599272
"D09","log(turn)",0.113388159509031,0.0745894032904951,0.152186915727567
"D09","log(rvar_capm)",0.52077675017926,0.470538933636742,0.571014566721778
"D09","sue",-0.00806227672844593,-0.0176808918892936,0.00155633843240176
"D09","nasdaq",-0.0623139243497844,-0.10258344455349,-0.0220444041460786
"D10","vol_pos_uni",0.07835278308287,-0.00440591799413219,0.161111484159872
"D10","vol_neg_uni",-0.0783704438920283,-0.111354412461108,-0.0453864753229482
"D10","log(me)",-0.0787898164844996,-0.112894620751995,-0.0446850122170041
"D10","log(bm)",0.0338697466826808,-0.010025555860339,0.0777650492257007
"D10","log(turn)",0.110274329077997,0.0717048335292325,0.148843824626761
"D10","log(rvar_capm)",0.52126712312154,0.471235285380826,0.571298960862253
"D10","sue",-0.00814894190526134,-0.0178860647891498,0.0015881809786271
"D10","nasdaq",-0.0637547740656424,-0.105349863341499,-0.0221596847897857
"D11","vol_pos_uni",0.0766356265952386,-0.00645636348489707,0.159727616675374
"D11","vol_neg_uni",-0.078062131644677,-0.111596126088396,-0.0445281372009579
"D11","log(me)",-0.0786302337833707,-0.111646485130739,-0.0456139824360028
"D11","log(bm)",0.0327818121144779,-0.0110336382382119,0.0765972624671677
"D11","log(turn)",0.110236686014576,0.0715353616462571,0.148938010382895
"D11","log(rvar_capm)",0.520503798568897,0.471462984617319,0.569544612520474
"D11","sue",-0.00782015572356772,-0.0173099064136836,0.00166959496654821
"D11","nasdaq",-0.0641585483105271,-0.105162824917003,-0.0231542717040508
"D12","vol_pos_uni",0.0751550285606843,-0.00456565558222342,0.154875712703592
"D12","vol_neg_uni",-0.0783500623951549,-0.113913544394005,-0.0427865803963043
"D12","log(me)",-0.0799731620254876,-0.112668198414296,-0.0472781256366791
"D12","log(bm)",0.0309225727083887,-0.0132873672632261,0.0751325126800035
"D12","log(turn)",0.112483102998368,0.0740611890230717,0.150905016973665
"D12","log(rvar_capm)",0.51877915440703,0.469728897674349,0.567829411139711
"D12","sue",-0.00814802767831385,-0.0177619921631658,0.00146593680653806
"D12","nasdaq",-0.0637303158248707,-0.103347187297877,-0.0241134443518649
"D13","vol_pos_uni",0.0751757915152742,-0.00509973230114612,0.155451315331695
"D13","vol_neg_uni",-0.0771424421406563,-0.114435187478407,-0.0398496968029058
"D13","log(me)",-0.0791406224834865,-0.11136145299713,-0.0469197919698429
