word,Cov,positive,negative
revenue,41.4,100.0,0.0
call,31.1,100.0,0.0
time,29.8,95.6,0.0
today,22.2,100.0,0.0
per,21.9,96.8,0.2
number,20.6,97.0,0.2
compared,19.6,96.4,0.0
thank,19.1,98.2,0.0
believe,18.5,97.4,0.0
total,16.0,99.2,0.0
financial,15.4,100.0,0.0
may,13.3,98.8,0.0
revenues,13.0,97.4,0.2
additional,12.4,98.8,0.0
expenses,12.4,100.0,0.0
provide,11.6,95.8,0.0
interest,11.2,96.4,0.0
current,11.1,98.4,0.0
data,10.5,100.0,0.0
based,10.4,97.0,0.0
statements,10.2,100.0,0.0
release,8.7,97.4,0.0
services,8.6,96.2,0.6
development,8.2,100.0,0.0
potential,7.8,99.8,0.0
use,7.5,99.8,0.0
assets,7.1,98.0,0.2
loss,6.9,100.0,0.0
available,6.6,99.8,0.0
patients,6.6,100.0,0.0
